External URL, SKU, Name, Images, Sale price, Regular price, Categories, Type
"https://www.awin1.com/pclick.php?p=23168533657&a=525247&m=2832", "23168533657", "Luke 1977 Special Bill 2 Polo Shirt Black", "https://www.footasylum.com/images/products/medium/108833.jpg", "19.99", 54.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=22533158825&a=525247&m=2832", "22533158825", "Glorious Gangsta London Velvet Snake Trainer Khaki", "https://www.footasylum.com/images/products/medium/108960.jpg", "24.99", 64.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22461291221&a=525247&m=2832", "22461291221", "Glorious Gangsta Paris Velvet Snake Trainer Khaki", "https://www.footasylum.com/images/products/medium/108965.jpg", "24.99", 74.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22946673837&a=525247&m=2832", "22946673837", "Glorious Gangsta Suede Resin Chelsea Boot Grey", "https://www.footasylum.com/images/products/medium/108971.jpg", "19.99", 79.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=3734134485&a=525247&m=2832", "3734134485", "Glorious Gangsta London Tumbled Trainer Khaki", "https://www.footasylum.com/images/products/medium/108977.jpg", "24.99", 59.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22602550899&a=525247&m=2832", "22602550899", "Glorious Gangsta Paris Pleat Trainer Mid Grey", "https://www.footasylum.com/images/products/medium/108980.jpg", "19.99", 64.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=3734134489&a=525247&m=2832", "3734134489", "Glorious Gangsta Paris Pleat Trainer Khaki", "https://www.footasylum.com/images/products/medium/108981.jpg", "19.99", 64.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=3755739541&a=525247&m=2832", "3755739541", "Glorious Gangsta Paris Pleat Trainer Stone", "https://www.footasylum.com/images/products/medium/108982.jpg", "24.99", 64.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=18388471153&a=525247&m=2832", "18388471153", "Jack Wolfskin Heritage Trucker Cap Black", "https://www.footasylum.com/images/products/medium/109061.jpg", "7.99", 17.99, "Men, Accessories", "external"
"https://www.awin1.com/pclick.php?p=23029621263&a=525247&m=2832", "23029621263", "Under Armour Curry 3 'CNY' Trainer Red / Aluminium / Black", "https://www.footasylum.com/images/products/medium/109074.jpg", "74.99", 149.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23270062441&a=525247&m=2832", "23270062441", "Antony Morato Contrast Polo Shirt Navy", "https://www.footasylum.com/images/products/medium/109075.jpg", "14.99", 54.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=22857950099&a=525247&m=2832", "22857950099", "Under Armour Curry 3 Trainer Black / White", "https://www.footasylum.com/images/products/medium/109076.jpg", "74.99", 149.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22557379389&a=525247&m=2832", "22557379389", "Antony Morato Denim Short Light Wash", "https://www.footasylum.com/images/products/medium/109085.jpg", "19.99", 64.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=7809439465&a=525247&m=2832", "7809439465", "Antony Morato Ripped Denim Short Blue", "https://www.footasylum.com/images/products/medium/109086.jpg", "24.99", 74.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=3870116905&a=525247&m=2832", "3870116905", "Under Armour Curry 3 Hi Trainer Home White / Navy", "https://www.footasylum.com/images/products/medium/109087.jpg", "74.99", 149.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23247257967&a=525247&m=2832", "23247257967", "Under Armour Curry 3 Hi Trainer Nightvision Grey / Black", "https://www.footasylum.com/images/products/medium/109096.jpg", "64.99", 149.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=4685895491&a=525247&m=2832", "4685895491", "Cayler & Sons Chutoro Shoe Sand / Sand", "https://www.footasylum.com/images/products/medium/109216.jpg", "29.99", 79.99, "Men, Shoes", "external"
